,game_id,home_team,away_team,home_score,away_score,week
6924,2024_15_BUF_DET,DET,BUF,42,48,15
6925,2024_15_TB_LAC,LAC,TB,17,40,15
6926,2024_15_PIT_PHI,PHI,PIT,27,13,15
6927,2024_15_GB_SEA,SEA,GB,13,30,15
6928,2024_15_CHI_MIN,MIN,CHI,30,12,15
6929,2024_15_ATL_LV,LV,ATL,9,15,15
6930,2024_16_DEN_LAC,LAC,DEN,34,27,16
6931,2024_16_HOU_KC,KC,HOU,27,19,16
6932,2024_16_PIT_BAL,BAL,PIT,34,17,16
6933,2024_16_NYG_ATL,ATL,NYG,34,7,16
6934,2024_16_ARI_CAR,CAR,ARI,36,30,16
6935,2024_16_DET_CHI,CHI,DET,17,34,16
6936,2024_16_CLE_CIN,CIN,CLE,24,6,16
6937,2024_16_TEN_IND,IND,TEN,38,30,16
6938,2024_16_LA_NYJ,NYJ,LA,9,19,16
6939,2024_16_PHI_WAS,WAS,PHI,36,33,16
6940,2024_16_MIN_SEA,SEA,MIN,24,27,16
6941,2024_16_NE_BUF,BUF,NE,24,21,16
6942,2024_16_JAX_LV,LV,JAX,19,14,16
6943,2024_16_SF_MIA,MIA,SF,29,17,16
6944,2024_16_TB_DAL,DAL,TB,26,24,16
6945,2024_16_NO_GB,GB,NO,34,0,16
6946,2024_17_KC_PIT,PIT,KC,10,29,17
6947,2024_17_BAL_HOU,HOU,BAL,2,31,17
6948,2024_17_SEA_CHI,CHI,SEA,3,6,17
6949,2024_17_LAC_NE,NE,LAC,7,40,17
6950,2024_17_DEN_CIN,CIN,DEN,30,24,17
6951,2024_17_ARI_LA,LA,ARI,13,9,17
6952,2024_17_NYJ_BUF,BUF,NYJ,40,14,17
6953,2024_17_TEN_JAX,JAX,TEN,20,13,17
6954,2024_17_LV_NO,NO,LV,10,25,17
6955,2024_17_IND_NYG,NYG,IND,45,33,17
6956,2024_17_DAL_PHI,PHI,DAL,41,7,17
6957,2024_17_CAR_TB,TB,CAR,48,14,17
6958,2024_17_MIA_CLE,CLE,MIA,3,20,17
6959,2024_17_GB_MIN,MIN,GB,27,25,17
6960,2024_17_ATL_WAS,WAS,ATL,30,24,17
6961,2024_17_DET_SF,SF,DET,34,40,17
6962,2024_18_CLE_BAL,BAL,CLE,35,10,18
6963,2024_18_CIN_PIT,PIT,CIN,17,19,18
6964,2024_18_CAR_ATL,ATL,CAR,38,44,18
6965,2024_18_WAS_DAL,DAL,WAS,19,23,18
6966,2024_18_CHI_GB,GB,CHI,22,24,18
6967,2024_18_JAX_IND,IND,JAX,26,23,18
6968,2024_18_BUF_NE,NE,BUF,23,16,18
6969,2024_18_NYG_PHI,PHI,NYG,20,13,18
6970,2024_18_NO_TB,TB,NO,27,19,18
6971,2024_18_HOU_TEN,TEN,HOU,14,23,18
6972,2024_18_SF_ARI,ARI,SF,47,24,18
6973,2024_18_KC_DEN,DEN,KC,38,0,18
6974,2024_18_SEA_LA,LA,SEA,25,30,18
6975,2024_18_LAC_LV,LV,LAC,20,34,18
6976,2024_18_MIA_NYJ,NYJ,MIA,32,20,18
6977,2024_18_MIN_DET,DET,MIN,31,9,18
6978,2024_19_LAC_HOU,HOU,LAC,32,12,19
6979,2024_19_PIT_BAL,BAL,PIT,28,14,19
6980,2024_19_DEN_BUF,BUF,DEN,31,7,19
6981,2024_19_GB_PHI,PHI,GB,22,10,19
6982,2024_19_WAS_TB,TB,WAS,20,23,19
6983,2024_19_MIN_LA,LA,MIN,27,9,19
6984,2024_20_HOU_KC,KC,HOU,23,14,20
6985,2024_20_WAS_DET,DET,WAS,31,45,20
6986,2024_20_LA_PHI,PHI,LA,28,22,20
6987,2024_20_BAL_BUF,BUF,BAL,27,25,20
6988,2024_21_WAS_PHI,PHI,WAS,55,23,21
6989,2024_21_BUF_KC,KC,BUF,32,29,21
6990,2024_22_KC_PHI,PHI,KC,40,22,22
