,game_id,team,week,total_yards,total_tds,passing_tds,rushing_tds,num_plays,avg_epa,success_rate,total_rush_yards,rush_attempts,longest_rush,rushes_for_loss,total_pass_yards,pass_attempts,complete_passes,incomplete_passes,sacks,longest_pass,total_penalty_yards,fumbles_lost,interceptions,third_down_converted,fourth_down_converted,wp,home_wp,away_wp
181,2024_06_TB_NO,TB,6,594.0,6.0,4.0,2.0,73,0.22036001,0.547945205479452,277.0,35.0,36.0,3,325.0,38.0,24.0,9.0,1.0,55.0,67.0,0.0,3.0,6.0,0.0,0.63099337,0.36900666,0.63099337
182,2024_06_WAS_BAL,BAL,6,486.0,3.0,1.0,2.0,63,0.16918392,0.5079365079365079,178.0,35.0,33.0,3,323.0,28.0,20.0,5.0,2.0,44.0,0.0,0.0,1.0,6.0,0.0,0.69413954,0.69413954,0.3058605
183,2024_06_WAS_BAL,WAS,6,305.0,2.0,2.0,0.0,56,0.10231656,0.44642857142857145,52.0,18.0,9.0,1,269.0,38.0,24.0,11.0,3.0,28.0,0.0,0.0,0.0,4.0,1.0,0.2950075,0.7049925,0.2950075
184,2024_07_BAL_TB,BAL,7,508.0,5.0,5.0,0.0,54,0.47213036,0.5185185185185185,244.0,30.0,81.0,3,281.0,24.0,17.0,5.0,2.0,59.0,55.0,1.0,0.0,3.0,1.0,0.7270257,0.2729743,0.7270257
185,2024_07_BAL_TB,TB,7,484.0,4.0,3.0,1.0,79,0.122913666,0.4936708860759494,126.0,29.0,15.0,2,370.0,50.0,31.0,12.0,3.0,28.0,30.0,0.0,2.0,11.0,1.0,0.30063665,0.30063665,0.69936335
186,2024_07_CAR_WAS,CAR,7,181.0,2.0,0.0,1.0,42,-0.47399506,0.42857142857142855,96.0,22.0,26.0,2,89.0,20.0,13.0,3.0,2.0,29.0,10.0,0.0,2.0,3.0,0.0,0.15009898,0.849901,0.15009898
187,2024_07_CAR_WAS,WAS,7,424.0,3.0,2.0,1.0,61,0.26922607,0.5573770491803278,216.0,35.0,46.0,2,211.0,26.0,20.0,5.0,1.0,25.0,0.0,0.0,0.0,5.0,0.0,0.95207256,0.95207256,0.04792741
188,2024_07_CIN_CLE,CIN,7,226.0,2.0,2.0,0.0,50,-0.194615,0.3,62.0,22.0,22.0,4,181.0,28.0,15.0,10.0,3.0,25.0,10.0,0.0,0.0,2.0,0.0,0.7724762,0.2275238,0.7724762
189,2024_07_CIN_CLE,CLE,7,340.0,2.0,1.0,1.0,77,-0.15467243,0.37662337662337664,79.0,20.0,34.0,2,277.0,57.0,31.0,19.0,4.0,25.0,10.0,0.0,2.0,8.0,1.0,0.26347488,0.26347488,0.7365252
190,2024_07_DEN_NO,DEN,7,391.0,2.0,0.0,2.0,59,0.12467548,0.559322033898305,227.0,33.0,32.0,3,164.0,26.0,16.0,10.0,0.0,30.0,0.0,1.0,0.0,4.0,0.0,0.73759294,0.26240706,0.73759294
191,2024_07_DEN_NO,NO,7,272.0,2.0,1.0,0.0,65,-0.35659802,0.38461538461538464,98.0,20.0,28.0,1,210.0,45.0,28.0,11.0,6.0,32.0,0.0,2.0,0.0,5.0,3.0,0.13450788,0.13450788,0.8654921
192,2024_07_DET_MIN,DET,7,395.0,5.0,2.0,2.0,54,0.13093385,0.42592592592592593,148.0,25.0,45.0,1,280.0,29.0,22.0,3.0,4.0,35.0,15.0,1.0,0.0,4.0,0.0,0.5397113,0.46028873,0.5397113
193,2024_07_DET_MIN,MIN,7,383.0,2.0,1.0,1.0,53,0.053323943,0.3584905660377358,139.0,21.0,34.0,0,259.0,32.0,22.0,4.0,4.0,51.0,10.0,0.0,1.0,4.0,0.0,0.44173673,0.44173673,0.5582633
194,2024_07_HOU_GB,GB,7,277.0,3.0,3.0,0.0,56,-0.07821454,0.375,82.0,20.0,27.0,4,220.0,36.0,24.0,7.0,3.0,30.0,25.0,0.0,2.0,4.0,0.0,0.5130949,0.5130949,0.4869051
195,2024_07_HOU_GB,HOU,7,198.0,2.0,0.0,2.0,58,-0.17564452,0.3620689655172414,143.0,33.0,32.0,6,86.0,25.0,10.0,11.0,4.0,28.0,0.0,0.0,0.0,4.0,0.0,0.51611257,0.48388743,0.51611257
196,2024_07_KC_SF,KC,7,331.0,4.0,0.0,4.0,66,0.021756561,0.5,186.0,37.0,33.0,1,154.0,29.0,16.0,9.0,2.0,26.0,0.0,0.0,2.0,8.0,1.0,0.692074,0.307926,0.692074
197,2024_07_KC_SF,SF,7,310.0,2.0,0.0,2.0,57,-0.17998241,0.42105263157894735,101.0,24.0,26.0,3,212.0,33.0,17.0,11.0,1.0,41.0,15.0,0.0,3.0,2.0,1.0,0.3084138,0.3084138,0.6915862
198,2024_07_LAC_ARI,ARI,7,329.0,2.0,1.0,1.0,53,0.035911966,0.49056603773584906,184.0,27.0,44.0,1,145.0,26.0,14.0,11.0,0.0,33.0,0.0,1.0,1.0,2.0,0.0,0.596344,0.596344,0.403656
199,2024_07_LAC_ARI,LAC,7,395.0,0.0,0.0,0.0,63,0.049468063,0.42857142857142855,59.0,22.0,11.0,2,349.0,41.0,27.0,11.0,3.0,41.0,0.0,1.0,0.0,6.0,1.0,0.45715633,0.5428437,0.45715633
