player_id,player_name,player_abbr,game_id,week,recent_team,opponent_team,season,season_type,position,headshot_url,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr,receiving_broken_tackles,receiving_drop,receiving_drop_pct,receiving_int,receiving_rat,avg_cushion,avg_separation,avg_intended_air_yards,percent_share_of_intended_air_yards,avg_yac,avg_expected_yac,avg_yac_above_expectation
00-0033908,Cooper Kupp,C.Kupp,2024_02_LA_ARI,2,LA,ARI,2024,REG,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sq7zwzcgrajuk0hwwph2",4,6,37.0,0,0.0,0.0,42.0,24.0,1.0,-3.009176,0,0.88095236,0.22222222,0.26415095,0.518239,0.0,3.7,7.7,1.0,0.0,0.0,0.0,83.3,6.495000000000001,3.4452977607234256,6.356666666666665,21.696342226520272,6.1200000000000045,5.337672190175056,0.7823278098249489
00-0033908,Cooper Kupp,C.Kupp,2024_08_MIN_LA,8,LA,MIN,2024,REG,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sq7zwzcgrajuk0hwwph2",5,8,51.0,1,0.0,0.0,38.0,26.0,2.0,1.1623397,0,1.3421053,0.23529412,0.14671814,0.4556439,0.0,11.1,16.1,0.0,0.0,0.0,0.0,120.3,8.958749999999998,3.390090562541527,6.472499999999999,19.27630109448291,5.82,4.604547671102319,1.2154523288976815
00-0033908,Cooper Kupp,C.Kupp,2024_09_LA_SEA,9,LA,SEA,2024,REG,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sq7zwzcgrajuk0hwwph2",11,14,104.0,0,0.0,0.0,78.0,46.0,4.0,3.2682855,0,1.3333334,0.33333334,0.18396227,0.62877357,0.0,10.4,21.4,0.0,1.0,0.071,0.0,97.6,7.091666666666668,4.148570675997422,5.301428571428572,17.375629170080767,4.507272727272727,4.621367707564576,-0.11409498029184917
00-0033908,Cooper Kupp,C.Kupp,2024_10_MIA_LA,10,LA,MIA,2024,REG,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sq7zwzcgrajuk0hwwph2",7,7,80.0,0,0.0,0.0,68.0,12.0,4.0,4.7245255,0,1.1764706,0.1590909,0.22666667,0.39730304,0.0,8.0,15.0,0.0,0.0,0.0,0.0,114.3,6.9242857142857135,4.646458185566226,9.627142857142859,21.817534317534314,1.801428571428571,2.0285557835696824,-0.22712721214111142
00-0033908,Cooper Kupp,C.Kupp,2024_11_LA_NE,11,LA,NE,2024,REG,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sq7zwzcgrajuk0hwwph2",6,10,106.0,2,0.0,0.0,92.0,64.0,3.0,3.8711562,0,1.1521739,0.37037036,0.3183391,0.7783929,0.0,22.6,28.6,0.0,0.0,0.0,0.0,135.8,6.962222222222222,2.4551990944740276,10.576999999999998,34.45950348602332,10.673333333333334,4.930297600930015,5.743035732403319
00-0033908,Cooper Kupp,C.Kupp,2024_12_PHI_LA,12,LA,PHI,2024,REG,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sq7zwzcgrajuk0hwwph2",8,11,60.0,1,1.0,0.0,54.0,23.0,1.0,-2.0390964,0,1.1111112,0.32352942,0.24,0.65329415,0.0,12.0,20.0,0.0,0.0,0.0,0.0,115.7,4.77,3.999610953899173,4.861818181818183,23.861152009994207,3.2124999999999977,2.9589693565708046,0.25353064342919307
00-0033908,Cooper Kupp,C.Kupp,2024_13_LA_NO,13,LA,NO,2024,REG,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sq7zwzcgrajuk0hwwph2",3,6,17.0,0,0.0,0.0,52.0,1.0,0.0,-6.6223884,0,0.32692307,0.26086956,0.26943004,0.5799054,0.0,1.7,4.7,0.0,0.0,0.0,0.0,56.2,8.483999999999998,1.623786628534803,8.306666666666667,25.12350035285815,0.39333333333333087,0.7296649542895466,-0.3363316209562157
00-0033908,Cooper Kupp,C.Kupp,2024_14_BUF_LA,14,LA,BUF,2024,REG,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sq7zwzcgrajuk0hwwph2",5,8,92.0,1,0.0,0.0,104.0,21.0,4.0,6.4073825,0,0.88461536,0.26666668,0.37410071,0.6618705,0.0,15.2,20.2,0.0,0.0,0.0,0.0,141.7,7.627142857142857,3.095906267932194,13.193749999999998,38.6446014718266,4.8320000000000025,5.1250580852276215,-0.293058085227619
00-0033908,Cooper Kupp,C.Kupp,2024_20_LA_PHI,20,LA,PHI,2024,POST,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/sq7zwzcgrajuk0hwwph2",5,7,61.0,0,0.0,0.0,99.0,11.0,3.0,4.2949414,0,0.61616164,0.1590909,0.22347629,0.39506978,0.0,6.1,11.1,0.0,0.0,0.0,0.0,97.9,6.109999999999999,3.248942893464721,13.215714285714283,21.71800169029955,2.582000000000003,2.371649469298365,0.21035053070163778
00-0034348,Courtland Sutton,C.Sutton,2024_01_DEN_SEA,1,DEN,SEA,2024,REG,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qts95gbd6hv65s9eiseq",4,12,38.0,0,0.0,0.0,163.0,6.0,2.0,-8.081949,0,0.23312883,0.2857143,0.61742425,0.8607684,0.0,3.8,7.8,0.0,0.0,0.0,2.0,3.5,5.708333333333333,2.482587983933129,13.339166666666666,62.393295653868655,1.9575000000000014,3.763890157309646,-1.8063901573096448
00-0034348,Courtland Sutton,C.Sutton,2024_03_DEN_TB,3,DEN,TB,2024,REG,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qts95gbd6hv65s9eiseq",7,11,68.0,0,0.0,0.0,113.0,3.0,5.0,0.5797593,0,0.6017699,0.32352942,0.46502057,0.81080854,0.0,6.8,13.8,0.0,0.0,0.0,0.0,80.9,6.13909090909091,1.7997908954035162,10.143636363636363,47.798149417409185,-0.052857142857143,0.5962970895943284,-0.6491542324514714
00-0034348,Courtland Sutton,C.Sutton,2024_04_DEN_NYJ,4,DEN,NYJ,2024,REG,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qts95gbd6hv65s9eiseq",3,9,60.0,1,0.0,0.0,157.0,13.0,3.0,3.223428,0,0.3821656,0.36,0.6205534,0.97438735,0.0,12.0,15.0,0.0,2.0,0.222,0.0,94.7,6.04111111111111,3.536894491984317,16.55333333333333,66.88816055313607,4.730000000000001,4.59159957326483,0.1384004267351715
00-0034348,Courtland Sutton,C.Sutton,2024_05_LV_DEN,5,DEN,LV,2024,REG,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qts95gbd6hv65s9eiseq",2,5,32.0,0,0.0,0.0,71.0,5.0,2.0,0.82824636,0,0.45070422,0.1923077,0.49305555,0.6336004,0.0,3.2,5.2,1.0,0.0,0.0,0.0,62.1,5.856,1.984513584521619,13.494,45.419050824638155,2.2850000000000037,0.9314746333297137,1.35352536667029
00-0034348,Courtland Sutton,C.Sutton,2024_06_LAC_DEN,6,DEN,LAC,2024,REG,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qts95gbd6hv65s9eiseq",4,6,53.0,1,0.0,0.0,84.0,7.0,3.0,4.1692467,0,0.63095236,0.1875,0.25225225,0.45782658,0.0,11.3,15.3,0.0,0.0,0.0,0.0,134.0,8.483333333333333,2.7461391307926775,15.089999999999998,26.418067226890752,1.8650000000000002,2.9939342614454745,-1.1289342614454743
00-0034348,Courtland Sutton,C.Sutton,2024_08_CAR_DEN,8,DEN,CAR,2024,REG,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qts95gbd6hv65s9eiseq",8,11,100.0,0,1.0,1.0,154.0,31.0,4.0,2.2521245,0,0.64935064,0.28947368,0.38308457,0.70236975,0.0,9.12,17.12,0.0,0.0,0.0,0.0,100.6,8.788181818181819,2.401325868933345,13.343636363636364,36.5360681037487,4.197500000000002,3.7723680663660346,0.42513193363396695
00-0034348,Courtland Sutton,C.Sutton,2024_09_DEN_BAL,9,DEN,BAL,2024,REG,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qts95gbd6hv65s9eiseq",7,10,122.0,0,0.0,0.0,132.0,34.0,5.0,3.5821428,0,0.92424244,0.3030303,0.5217391,0.8197628,0.0,16.28,23.28,0.0,0.0,0.0,0.0,111.2,4.886,3.13140704296554,13.547000000000002,47.10525400744116,5.277142857142857,4.816686276670081,0.4604565804727754
00-0034348,Courtland Sutton,C.Sutton,2024_10_DEN_KC,10,DEN,KC,2024,REG,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qts95gbd6hv65s9eiseq",6,9,70.0,1,0.0,0.0,101.0,5.0,4.0,5.928955,0,0.6930693,0.32142857,0.44493392,0.7935966,0.0,13.0,19.0,0.0,2.0,0.222,0.0,127.1,2.7622222222222224,2.1638400194726977,10.764444444444443,47.90821877163486,0.3433333333333349,1.2535549121220793,-0.9102215787887444
00-0034348,Courtland Sutton,C.Sutton,2024_11_ATL_DEN,11,DEN,ATL,2024,REG,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qts95gbd6hv65s9eiseq",7,8,78.0,0,0.0,0.0,78.0,16.0,3.0,5.3255606,0,1.0,0.25,0.59090906,0.7886364,0.0,7.8,14.8,0.0,0.0,0.0,0.0,107.3,8.125714285714285,3.988890188821151,9.599999999999998,66.02475928473176,2.6785714285714306,2.2953661157545873,0.38320531281684334
00-0034348,Courtland Sutton,C.Sutton,2024_12_DEN_LV,12,DEN,LV,2024,REG,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qts95gbd6hv65s9eiseq",8,10,97.0,2,0.0,0.0,104.0,5.0,6.0,11.99227,0,0.9326923,0.25641027,0.39245284,0.6593324,0.0,21.7,29.7,0.0,1.0,0.1,0.0,146.7,6.061,2.097239376639971,11.221999999999998,39.47655398037077,0.8775000000000013,1.833850009420992,-0.9563500094209907
00-0034348,Courtland Sutton,C.Sutton,2024_13_CLE_DEN,13,DEN,CLE,2024,REG,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qts95gbd6hv65s9eiseq",6,9,102.0,0,0.0,0.0,181.0,18.0,6.0,8.159207,0,0.5635359,0.29032257,0.44581282,0.7475528,0.0,10.2,16.2,0.0,1.0,0.111,0.0,104.9,8.757499999999999,2.270346405485912,18.846666666666668,43.92934838910184,3.6150000000000007,2.8552215875864086,0.759778412413592
