player_id,player_abbr,player_name,position,headshot_url,recent_team,season,week,season_type,opponent_team,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
00-0030279,K.Allen,Keenan Allen,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lngo1onvkcqjnq7ozkuu",CHI,2024,15,REG,MIN,6,13,82.0,1,0.0,0.0,142.0,23.0,4.0,5.190206,0,0.57746476,0.41935483,0.6666667,1.095699,0.0,14.2,20.2
00-0030279,K.Allen,Keenan Allen,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lngo1onvkcqjnq7ozkuu",CHI,2024,16,REG,DET,9,13,141.0,1,0.0,0.0,124.0,51.0,7.0,9.814949,0,1.1370968,0.35135135,0.36795253,0.7845938,0.0,20.1,29.1
00-0030279,K.Allen,Keenan Allen,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lngo1onvkcqjnq7ozkuu",CHI,2024,17,REG,SEA,5,8,25.0,0,0.0,0.0,29.0,19.0,2.0,-2.0660832,0,0.86206895,0.30769232,0.1736527,0.5830954,0.0,2.5,7.5
00-0030279,K.Allen,Keenan Allen,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lngo1onvkcqjnq7ozkuu",CHI,2024,18,REG,GB,3,3,25.0,0,0.0,0.0,24.0,1.0,2.0,2.904557,0,1.0416666,0.125,0.36923078,0.44596153,0.0,0.5,3.5
00-0030431,R.Woods,Robert Woods,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ydjg5fylwkf5aaxiul6v",HOU,2024,3,REG,MIN,2,2,18.0,0,0.0,0.0,-2.0,20.0,0.0,-0.519301,0,0.0,0.046511628,-0.00754717,0.064484425,0.0,1.8,3.8
00-0030431,R.Woods,Robert Woods,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ydjg5fylwkf5aaxiul6v",HOU,2024,4,REG,JAX,1,3,10.0,0,0.0,0.0,38.0,5.0,1.0,-1.1075883,0,0.2631579,0.07692308,0.125,0.20288461,0.0,1.0,2.0
00-0030431,R.Woods,Robert Woods,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ydjg5fylwkf5aaxiul6v",HOU,2024,8,REG,IND,2,2,18.0,0,0.0,0.0,13.0,5.0,2.0,2.8509102,0,1.3846154,0.055555556,0.046428572,0.115833335,0.0,1.8,3.8
00-0030431,R.Woods,Robert Woods,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ydjg5fylwkf5aaxiul6v",HOU,2024,9,REG,NYJ,2,3,44.0,0,0.0,0.0,45.0,6.0,2.0,3.4600773,0,0.9777778,0.10344828,0.10204082,0.22660099,0.0,4.4,6.4
00-0030431,R.Woods,Robert Woods,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ydjg5fylwkf5aaxiul6v",HOU,2024,10,REG,DET,1,3,1.0,0,0.0,0.0,16.0,4.0,0.0,-2.4564707,0,0.0625,0.09375,0.06324111,0.18489377,0.0,0.1,1.1
00-0030431,R.Woods,Robert Woods,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ydjg5fylwkf5aaxiul6v",HOU,2024,11,REG,DAL,2,2,13.0,0,0.0,0.0,11.0,2.0,1.0,1.2533482,0,1.1818181,0.060606062,0.06214689,0.13441192,0.0,1.3,3.3
