season,team,position,depth_chart_position,jersey_number,status,player_name,first_name,last_name,headshot_url,week,game_type
2024,TB,WR,WR,89.0,DEV,Dennis Houston,Dennis,Houston,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/udypovj7ufijkccrkipl",19,WC
2024,ATL,LB,LB,46.0,CUT,Storey Jackson,Storey,Jackson,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a16ji9i19jsneq8gxfff",1,REG
2024,NYJ,OL,C,70.0,CUT,Alec Lindstrom,Alec,Lindstrom,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cvtae9fiee1vgzac4b2b",11,REG
2024,CAR,DB,CB,39.0,CUT,Quandre Mosely,Quandre,Mosely,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/irssnvxkpbiq3lpn6vzm",1,REG
2024,DAL,DB,FS,30.0,ACT,Juanyeh Thomas,Juanyeh,Thomas,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gluzbimvxdxqy27fljyf",18,REG
2024,LAC,DB,DB,35.0,DEV,Matt Hankins,Matt,Hankins,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xkwolkr3no78wpla4rwb",1,REG
2024,NYG,DL,DT,96.0,RES,Timmy Horne,Timmy,Horne,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tgtw0t2gjcsejvro76ts",18,REG
2024,ATL,LB,ILB,53.0,ACT,Nate Landman,Nate,Landman,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hpcdyme49wr6mtk4ftrp",18,REG
2024,ATL,OL,T,73.0,RET,Tyler Vrabel,Tyler,Vrabel,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ymtoj590zwyj1hh6h1k9",18,REG
2024,MIN,OL,T,72.0,DEV,Leroy Watson IV,Leroy,Watson,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dofncefzyhck7yqzkxqi",19,WC
2024,PHI,LB,OLB,59.0,CUT,David Anenih,David,Anenih,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hdivpncrququjnukvyoq",12,REG
