player_id,player_name,position,recent_team,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,carries,rushing_yards,rushing_tds,completion_pct,yards_per_attempt,td_pct,int_pct,passer_rating,adjusted_net_yards_per_attempt,yards_per_carry,completion_pct_rolling_3,yards_per_attempt_rolling_3,td_pct_rolling_3,int_pct_rolling_3,passer_rating_rolling_3,adjusted_net_yards_per_attempt_rolling_3,rushing_yards_rolling_3,yards_per_carry_rolling_3,completion_pct_rolling_5,yards_per_attempt_rolling_5,td_pct_rolling_5,int_pct_rolling_5,passer_rating_rolling_5,adjusted_net_yards_per_attempt_rolling_5,rushing_yards_rolling_5,yards_per_carry_rolling_5,completion_pct_season_avg,yards_per_attempt_season_avg,td_pct_season_avg,int_pct_season_avg,passer_rating_season_avg,adjusted_net_yards_per_attempt_season_avg,rushing_yards_season_avg,yards_per_carry_season_avg
00-0036389,J.Hurts,QB,PHI,19,POST,GB,13,21.0,131.0,2,0.0,2.0,10.0,6.0,36.0,0,61.904761904761905,6.238095238095238,9.523809523809524,0.0,111.40873015873017,7.0,6.0,55.00992063492064,6.016865079365079,5.257936507936508,0.0,92.08416005291006,6.2023809523809526,40.666666666666664,7.5555555555555545,57.91823308270676,5.880795739348371,6.112155388471178,0.0,96.16319444444443,5.962571428571428,42.0,6.652777777777777,65.89332842885959,7.709171108335679,5.383215098240253,1.052954076367389,102.83548873471837,6.888372257741999,41.625,4.8418536324786325
00-0036389,J.Hurts,QB,PHI,20,POST,LA,15,20.0,128.0,0,0.0,7.0,63.0,7.0,70.0,1,75.0,6.4,0.0,0.0,91.25,2.4074074074074074,10.0,53.968253968253975,5.12936507936508,3.1746031746031744,0.0,80.7473544973545,4.052469135802469,49.0,9.888888888888888,61.33928571428571,5.918690476190476,5.059523809523809,0.0,95.66319444444443,5.1869100529100525,50.2,8.008333333333333,66.42901499186783,7.632161043139462,5.066555386579061,0.9910156012869544,102.15398939738199,6.624786090075258,43.294117647058826,5.145274007038713
00-0036389,J.Hurts,QB,PHI,21,POST,WAS,20,28.0,246.0,1,0.0,2.0,16.0,10.0,16.0,3,71.42857142857143,8.785714285714286,3.571428571428571,0.0,110.11904761904762,8.333333333333334,1.6,69.44444444444446,7.141269841269842,4.365079365079365,0.0,104.25925925925928,5.91358024691358,40.666666666666664,5.866666666666667,62.291666666666664,6.647261904761905,3.869047619047619,0.0,95.52430555555556,5.8695767195767194,41.6,6.8533333333333335,66.70676812724027,7.69624733439362,4.983492785737368,0.9359591789932347,102.59649263191898,6.719705381367373,41.77777777777778,4.948314339981007
00-0036389,J.Hurts,QB,PHI,22,POST,KC,17,22.0,221.0,2,1.0,2.0,11.0,11.0,72.0,1,77.27272727272727,10.045454545454545,9.090909090909092,4.545454545454546,119.6969696969697,8.541666666666666,6.545454545454546,74.56709956709958,8.41038961038961,4.220779220779221,1.5151515151515154,107.02200577200578,6.427469135802468,52.666666666666664,6.04848484848485,62.121212121212125,6.8438528138528145,4.437229437229438,0.9090909090909092,94.41161616161615,5.806481481481481,47.0,7.5624242424242425,67.26287124016064,7.819889819186299,5.199672591272722,1.1259326193333037,103.49651774060585,6.815598080593651,43.36842105263158,5.032374350795403
00-0036442,J.Burrow,QB,CIN,1,REG,NE,21,29.0,164.0,0,0.0,3.0,10.0,4.0,15.0,0,72.41379310344827,5.655172413793103,0.0,0.0,85.99137931034483,4.8125,3.75,72.41379310344827,5.655172413793103,0.0,0.0,85.99137931034483,4.8125,15.0,3.75,72.41379310344827,5.655172413793103,0.0,0.0,85.99137931034483,4.8125,15.0,3.75,72.41379310344827,5.655172413793103,0.0,0.0,85.99137931034483,4.8125,15.0,3.75
00-0036442,J.Burrow,QB,CIN,2,REG,KC,23,36.0,258.0,2,0.0,3.0,12.0,6.0,9.0,0,63.888888888888886,7.166666666666667,5.555555555555555,0.0,103.7037037037037,7.333333333333333,1.5,68.15134099616859,6.4109195402298855,2.7777777777777777,0.0,94.84754150702426,6.072916666666666,12.0,2.625,68.15134099616859,6.4109195402298855,2.7777777777777777,0.0,94.84754150702426,6.072916666666666,12.0,2.625,68.15134099616859,6.4109195402298855,2.7777777777777777,0.0,94.84754150702426,6.072916666666666,12.0,2.625
00-0036442,J.Burrow,QB,CIN,3,REG,WAS,29,38.0,324.0,3,0.0,2.0,12.0,1.0,4.0,0,76.31578947368422,8.526315789473685,7.894736842105263,0.0,127.52192982456141,9.3,4.0,70.87282382200713,7.116051623311152,4.483430799220272,0.0,105.73900427953664,7.148611111111111,9.333333333333334,3.0833333333333335,70.87282382200713,7.116051623311152,4.483430799220272,0.0,105.73900427953664,7.148611111111111,9.333333333333334,3.0833333333333335,70.87282382200713,7.116051623311152,4.483430799220272,0.0,105.73900427953664,7.148611111111111,9.333333333333334,3.0833333333333335
00-0036442,J.Burrow,QB,CIN,4,REG,CAR,22,31.0,232.0,2,1.0,0.0,-0.0,1.0,10.0,0,70.96774193548387,7.483870967741935,6.451612903225806,3.225806451612903,100.47043010752688,7.32258064516129,10.0,70.390806766019,7.725617807960763,6.633968433628875,1.075268817204301,110.56535454526399,7.985304659498207,7.666666666666667,5.166666666666667,70.89655335037631,7.208006459418848,4.975476325221656,0.8064516129032258,104.4218607365342,7.192103494623655,9.5,4.8125,70.89655335037631,7.208006459418848,4.975476325221656,0.8064516129032258,104.4218607365342,7.192103494623655,9.5,4.8125
00-0036442,J.Burrow,QB,CIN,5,REG,BAL,30,39.0,392.0,5,1.0,3.0,21.0,2.0,1.0,0,76.92307692307693,10.051282051282051,12.82051282051282,2.564102564102564,136.96581196581198,10.142857142857142,0.5,74.73553611074834,8.687156269499225,9.055620855281296,1.9299696719051556,121.65272396596676,8.921812596006143,5.0,4.833333333333333,72.10185806491644,7.776661577791489,6.544483624279889,1.1579818031430933,110.93065098238976,7.782254224270353,7.8,3.95,72.10185806491644,7.776661577791489,6.544483624279889,1.1579818031430933,110.93065098238976,7.782254224270353,7.8,3.95
00-0036442,J.Burrow,QB,CIN,6,REG,NYG,19,28.0,208.0,0,0.0,4.0,25.0,4.0,55.0,1,67.85714285714286,7.428571428571429,0.0,0.0,89.58333333333334,5.71875,13.75,71.91598723856788,8.321241482531805,6.424041907912875,1.9299696719051556,109.0065251355574,7.728062596006144,22.0,8.083333333333334,71.19052801565536,8.131341380747154,6.544483624279889,1.1579818031430933,111.64904178698745,7.963504224270354,15.8,5.95,71.3944055302875,7.718646552921478,5.4537363535665735,0.9649848359525778,107.37276470754703,7.438336853558628,15.666666666666666,5.583333333333333
00-0036442,J.Burrow,QB,CIN,7,REG,CLE,15,25.0,181.0,2,0.0,3.0,17.0,3.0,-3.0,0,60.0,7.24,8.0,0.0,108.91666666666666,7.285714285714286,-1.0,68.26007326007327,8.23995115995116,6.9401709401709395,0.8547008547008547,111.82193732193734,7.715773809523809,17.666666666666668,4.416666666666667,70.41275023787757,8.14600804741382,7.033372513168777,1.1579818031430933,112.69163437958005,7.953980414746543,13.4,5.45,69.76663331167501,7.650268473932696,5.817488303057063,0.8271298593879238,107.5933221302784,7.416533629580864,13.0,4.642857142857143
00-0036442,J.Burrow,QB,CIN,8,REG,PHI,26,37.0,234.0,1,1.0,1.0,12.0,3.0,15.0,0,70.27027027027027,6.324324324324325,2.7027027027027026,2.7027027027027026,84.740990990991,5.184210526315789,5.0,66.04247104247105,6.997631917631918,3.567567567567567,0.9009009009009009,94.41366366366367,6.062891604010026,22.333333333333332,5.916666666666667,69.20364639719477,7.705609754383948,5.994965685288266,1.6985223436836339,104.13544661286596,7.130822520009701,15.6,5.65,69.82958793149942,7.484525455231649,5.428140103012768,1.0615764648022712,104.73678073786748,7.13749324167273,13.25,4.6875
00-0036442,J.Burrow,QB,CIN,9,REG,LV,27,39.0,251.0,5,1.0,1.0,8.0,3.0,11.0,0,69.23076923076923,6.435897435897436,12.82051282051282,2.564102564102564,115.49145299145297,7.45,3.6666666666666665,66.5003465003465,6.666740586740588,7.84107184107184,1.7556017556017556,103.04970354970355,6.639974937343358,7.666666666666667,2.5555555555555554,68.85625185625186,7.496015048015048,7.268745668745669,1.5661815661815661,107.1396511896512,7.156306390977444,15.8,4.383333333333334,69.76305252030717,7.368011230861182,6.249514849401663,1.2285238091689703,105.9317443215992,7.172216214820204,13.0,4.5740740740740735
00-0036442,J.Burrow,QB,CIN,10,REG,BAL,34,56.0,428.0,4,0.0,3.0,7.0,2.0,6.0,0,60.71428571428571,7.642857142857143,7.142857142857142,0.0,108.33333333333333,8.491525423728813,3.0,66.73844173844174,6.801026301026301,7.555357555357554,1.7556017556017556,102.8552591052591,7.041911983348201,10.666666666666666,3.888888888888889,65.61449361449361,7.014330066330066,6.133214533214533,1.0533610533610533,101.41315546315545,6.826040047151777,16.8,4.883333333333334,68.85817583970503,7.395495822060778,6.338849078747211,1.1056714282520734,106.17190322277261,7.304147135711065,12.3,4.416666666666666
00-0036442,J.Burrow,QB,CIN,11,REG,LAC,28,50.0,356.0,3,0.0,3.0,14.0,2.0,28.0,0,56.00000000000001,7.12,6.0,0.0,98.41666666666667,7.584905660377358,14.0,61.981684981684985,7.066251526251527,8.654456654456654,0.8547008547008547,107.41381766381765,7.842143694702057,15.0,6.888888888888888,63.243065043065045,6.952615780615782,7.333214533214533,1.0533610533610533,103.17982212982213,7.199271179227249,11.4,4.933333333333333,67.68925076336821,7.37045074732798,6.308044617042919,1.0051558438655213,105.46688171767208,7.3296706379534555,13.727272727272727,5.287878787878788
00-0036442,J.Burrow,QB,CIN,13,REG,PIT,28,38.0,309.0,3,1.0,4.0,27.0,2.0,9.0,0,73.68421052631578,8.131578947368421,7.894736842105263,2.631578947368421,112.71929824561401,7.071428571428571,4.5,63.46616541353384,7.631478696741855,7.012531328320801,0.8771929824561403,106.48976608187134,7.71595321851158,14.333333333333334,7.166666666666667,65.9799071483282,7.130931570089464,7.312161901635585,1.5796768428347374,103.9403484456116,7.156414036370106,13.8,6.033333333333333,68.18883074361383,7.433878097331349,6.440268969131448,1.1406911024907629,106.07124976166723,7.308150465743048,13.333333333333334,5.222222222222222
00-0036442,J.Burrow,QB,CIN,14,REG,DAL,33,44.0,369.0,3,1.0,2.0,10.0,2.0,-2.0,0,75.0,8.386363636363637,6.8181818181818175,2.272727272727273,112.78409090909089,8.130434782608695,-1.0,68.22807017543859,7.879314194577353,6.904306220095692,1.634768740031898,107.97335194045719,7.595589671471541,11.666666666666666,5.833333333333333,66.92585309427413,7.543339432497328,8.135257724731408,1.4936817568396514,109.54896842923158,7.745658887628688,10.4,4.833333333333333,68.71276684025892,7.507146215718449,6.469339188289168,1.2277708078935714,106.58762215762289,7.371403105501945,12.153846153846153,4.743589743589744
00-0036442,J.Burrow,QB,CIN,15,REG,TEN,26,37.0,271.0,3,2.0,1.0,2.0,,0.0,0,70.27027027027027,7.324324324324325,8.108108108108109,5.405405405405405,95.66441441441441,6.2894736842105265,,72.98482693219535,7.94742230268546,7.6070089227983955,3.4365705418336994,107.05593452303977,7.163779012749264,2.3333333333333335,1.7500000000000009,67.13375330217437,7.721024810182705,7.1927767822504665,2.06194232510022,105.58356071382386,7.513553624470792,8.2,5.124999999999999,68.82401708525974,7.4940875091902965,6.586394111133378,1.5261732791444165,105.80739303310801,7.294122432552557,11.285714285714286,4.743589743589744
00-0036442,J.Burrow,QB,CIN,16,REG,CLE,23,30.0,252.0,3,0.0,4.0,42.0,2.0,19.0,0,76.66666666666667,8.4,10.0,0.0,134.30555555555557,7.9411764705882355,9.5,73.97897897897899,8.036895986895987,8.308763308763307,2.5593775593775594,114.2513536263536,7.453694979135819,5.666666666666667,4.25,70.32422949265056,7.872453381611277,7.764205353679037,2.06194232510022,110.7780051582683,7.403483833842678,10.8,6.75,69.34686039068687,7.554481675244277,6.813967837057819,1.4244283938681221,107.7072705346045,7.337259368421602,11.8,5.083333333333334
00-0036442,J.Burrow,QB,CIN,17,REG,DEN,39,49.0,412.0,3,0.0,7.0,28.0,4.0,25.0,1,79.59183673469387,8.408163265306122,6.122448979591836,0.0,122.10884353741498,7.928571428571429,6.25,75.50959122387694,8.044162529876816,8.076852362566648,1.8018018018018018,117.35960450246165,7.38640719445673,14.666666666666666,7.875,75.04259683958932,8.1300860346725,7.788695149597404,2.06194232510022,115.51644053241799,7.4722169874814925,10.2,4.8125,69.98717141218731,7.607836774623142,6.770747908466196,1.3354016192513645,108.60736884728017,7.374216372180967,12.625,5.161111111111111
00-0036442,J.Burrow,QB,CIN,18,REG,PIT,37,46.0,277.0,1,1.0,4.0,31.0,1.0,-1.0,0,80.43478260869566,6.021739130434782,2.1739130434782608,2.1739130434782608,89.94565217391303,4.42,-1.0,78.89776200335207,7.609967465246967,6.098787341023365,0.7246376811594203,115.45335042229453,6.763249299719888,14.333333333333334,4.916666666666667,76.39271125606528,7.708118071285773,6.6445303898720045,1.9704091443221876,110.96171131807777,6.941931273195777,8.2,3.4375,70.60173677668779,7.514536913200297,6.500345857584553,1.384725820676476,107.50962080767033,7.200438938523263,11.823529411764707,4.776041666666667
00-0036898,D.Mills,QB,HOU,3,REG,MIN,7,12.0,79.0,0,0.0,1.0,7.0,,0.0,0,58.333333333333336,6.583333333333333,0.0,0.0,78.125,5.538461538461538,,58.333333333333336,6.583333333333333,0.0,0.0,78.125,5.538461538461538,0.0,,58.333333333333336,6.583333333333333,0.0,0.0,78.125,5.538461538461538,0.0,,58.333333333333336,6.583333333333333,0.0,0.0,78.125,5.538461538461538,0.0,
