season,team,team_id,player_id,player_name,first_name,last_name,position,jersey_number,status,game_type
2024,LAC,4400,00-0039657,Casey Bauman,Casey,Bauman,QB,16.0,CUT,REG
2024,ATL,200,00-0039394,Casey Washington,Casey,Washington,WR,82.0,ACT,REG
2024,CLE,1050,00-0038979,Cedric Tillman,Cedric,Tillman,WR,19.0,RES,REG
2024,NO,3300,00-0034418,Cedrick Wilson Jr.,Cedrick,Wilson,WR,11.0,ACT,REG
2024,DAL,1200,00-0036358,CeeDee Lamb,Cedarian,Lamb,WR,88.0,RES,REG
2024,TB,4900,00-0038805,Cephus Johnson III,Cephus,Johnson,WR,28.0,CUT,REG
2024,ARI,3800,00-0038567,Chad Ryland,Chad,Ryland,K,38.0,ACT,REG
2024,CIN,920,00-0038576,Charlie Jones,Charlie,Jones,WR,15.0,INA,REG
2024,BAL,325,00-0038046,Charlie Kolar,Charlie,Kolar,TE,88.0,ACT,DIV
2024,NO,3300,00-0039229,Charlie Smyth,Charles,Smyth,K,39.0,DEV,REG
2024,ATL,200,00-0036429,Charlie Woerner,Charlie,Woerner,TE,89.0,ACT,REG
2024,CIN,920,00-0038597,Chase Brown,Chase,Brown,RB,30.0,INA,REG
2024,BUF,610,00-0036326,Chase Claypool,Chase,Claypool,WR,14.0,CUT,REG
2024,NYG,3410,00-0038651,Chase Cota,Chase,Cota,WR,38.0,CUT,REG
2024,TB,4900,00-0034681,Chase Edmonds,Chase,Edmonds,RB,22.0,RES,WC
2024,TB,4900,00-0035358,Chase McLaughlin,Chase,McLaughlin,K,4.0,ACT,WC
2024,TEN,2100,00-0037809,Chig Okonkwo,Chigoziem,Okonkwo,TE,85.0,ACT,REG
2024,ATL,200,00-0036463,Chris Blair,Chris,Blair,WR,19.0,ACT,REG
2024,PIT,3900,00-0031136,Chris Boswell,Chris,Boswell,K,9.0,ACT,WC
2024,GB,1800,00-0038685,Chris Brooks,Christopher,Brooks,RB,30.0,ACT,WC
2024,LV,2520,00-0039244,Chris Collier,Chris,Collier,RB,33.0,ACT,REG
2024,SF,4500,00-0032128,Chris Conley,Christian,Conley,WR,18.0,ACT,REG
2024,CIN,920,00-0036857,Chris Evans,Chris,Evans,RB,25.0,RES,REG
2024,TB,4900,00-0033921,Chris Godwin,Rod,Godwin,WR,14.0,RES,WC
2024,NYG,3410,00-0031484,Chris Manhertz,Chris,Manhertz,TE,85.0,ACT,REG
2024,WAS,5110,00-0032398,Chris Moore,Christopher,Moore,WR,19.0,DEV,CON
2024,HOU,2120,00-0035345,Chris Myarick,Chris,Myarick,TE,84.0,DEV,REG
2024,KC,2310,00-0037324,Chris Oladokun,Chris,Oladokun,QB,19.0,DEV,SB
2024,NO,3300,00-0037239,Chris Olave,Chris,Olave,WR,12.0,RES,REG
2024,WAS,5110,00-0038611,Chris Rodriguez Jr.,Christopher,Rodriguez,RB,36.0,INA,CON
2024,JAX,2250,00-0034775,Christian Kirk,Christian,Kirk,WR,13.0,RES,REG
2024,SF,4500,00-0033280,Christian McCaffrey,Christian,McCaffrey,RB,23.0,RES,REG
